place_id,link_restaurant,place_name,place_name_concatenated,name,rating,formatted_address,geometry_location_lat,geometry_location_lng,lokasi_kota,tipe_makanan,level_price,rating_five,rating_ten,cost_range_min,cost_range_max
ChIJXzR4fVSLcC4R4CV65-62E8w,https://www.tripadvisor.com/Restaurant_Review-g297712-d3223522-Reviews-Mie_Titee_Grajen-Semarang_Central_Java_Java.html,Mie Titee Grajen,Mie Titee Grajen Semarang,Mie Titee Grajen,4.3,"Jl. Gajahmada No.63 A, Kembangsari, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50133, Indonesia",-6.9780211,110.4207296,Semarang,"Chinese, Asian",1,4.0,8.0,20000,50000
ChIJy_6qa1P51y0R87gnuOlxyxk,https://pergikuliner.com/restaurants/surabaya/nasi-jagung-mas-ang-sawahan,Nasi Jagung Mas Ang Sawahan,Nasi Jagung Mas Ang Sawahan  Surabaya,Nasi Jagung Mas Ang,4.6,"Jl.Petemon II No.154, Petemon, Kec. Sawahan, Surabaya, Jawa Timur 60252, Indonesia",-7.2623208,112.7166751,Surabaya,Indonesia,1,4.7,9.4,20000,50000
ChIJy_xsq2rzaS4RRCYIjvzGBas,https://pergikuliner.com/restaurants/jakarta/joe-dan-dough-tebet,Joe & Dough Tebet,Joe & Dough Tebet  Jakarta,Joe & Dough,4.6,"Kota kasablanka ground floor, food society, Jl. Raya Casablanca No.88, RT.16/RW.5, Menteng Dalam, Tebet, South Jakarta City, Jakarta 12870, Indonesia",-6.2241488,106.8431844,Jakarta,Kafe,3,4.08,8.16,100000,200000
ChIJy-3SRC9Zei4RRxcOVpwp9xM,https://www.tripadvisor.com/Restaurant_Review-g2304080-d4214203-Reviews-Kalimilk-Sleman_Sleman_District_Yogyakarta_Region_Java.html,Kalimilk Sleman,Kalimilk Sleman Yogyakarta,pos scrty kalimilk,4.0,"Jl. Kaliurang No.101, Kocoran, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7626673,110.3800005,Yogyakarta,"Cafe, Indonesian",3,4.0,8.0,100000,200000
ChIJy-bZsOz3aS4R_bOE8n89c64,https://pergikuliner.com/restaurants/jakarta/toast-box-puri,Toast Box Puri,Toast Box Puri  Jakarta,Toast Box Puri Indah Mall,4.5,"Jl. Puri Agung No.1, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",-6.1883037,106.7335078,Jakarta," Kafe,Singapura",2,4.16,8.32,50000,100000
ChIJY-uHr_5Yei4R_-_TM1buJCM,https://www.tripadvisor.com/Restaurant_Review-g3916131-d3912320-Reviews-Pasta_Gio-Ngaglik_Sleman_District_Yogyakarta_Region_Java.html,Pasta Gio Ngaglik,Pasta Gio Ngaglik Yogyakarta,Pasta Gio,4.3,"Jalan Yudhistira, RT.008, Panggungsari, Sariharjo, Ngaglik, Wonorejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7361562,110.3797811,Yogyakarta,"Italian, European",2,4.0,8.0,50000,100000
ChIJy0dWvQ771y0Rdm4yttUrn54,https://pergikuliner.com/restaurants/surabaya/dose-coffee-dan-eatery-wonocolo,Dose Coffee & Eatery Wonocolo,Dose Coffee & Eatery Wonocolo  Surabaya,DOSE COFFEE & ROASTERY,4.6,"002, Jl. Raya Jemursari No.59-A, RW.10, Jemur Wonosari, Wonocolo, Surabaya, East Java 60237, Indonesia",-7.3232274,112.7412379,Surabaya,Kafe,1,4.35,8.7,20000,50000
ChIJY1EvOcLgaC4RHBhifhWoFag,https://pergikuliner.com/restaurants/bandung/kidang-nyaring-lembang,Kidang Nyaring Lembang,Kidang Nyaring Lembang  Bandung,Kidang Nyaring,4.6,"Parkiran Rumah Bunga Rizal, Jl. Maribaya No.km 2.4, Kayuambon, Lembang, Bandung Regency, West Java 40391, Indonesia",-6.825877,107.6375722,Bandung,Kafe,1,3.95,7.9,20000,50000
ChIJy1jh9JGMcC4RyBbp-pTL6d0,https://www.tripadvisor.com/Restaurant_Review-g297712-d8365373-Reviews-Cowek_Ireng_Resto-Semarang_Central_Java_Java.html,Cowek Ireng Resto,Cowek Ireng Resto Semarang,Cowek Ireng Resto,4.4,"Jl. Lamper Tengah No.671, Lamper Tengah, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50248, Indonesia",-7.0036232,110.4439466,Semarang,Healthy,1,4.0,8.0,20000,50000
ChIJy1tYY3H3aS4RPTagRmKxJfI,https://pergikuliner.com/restaurants/jakarta/steak-21-buffet-slipi,Steak 21 Buffet Slipi,Steak 21 Buffet Slipi  Jakarta,Steak 21 Buffet,4.6,"Central Park Mall Lt. LG No. 232-233, Letjen S. Parman No.28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",-6.1777327,106.7897946,Jakarta,Barat,4,4.09,8.18,200000,400000
ChIJy1Ytph1aei4RditU1CvjV8s,https://www.tripadvisor.com/Restaurant_Review-g5074492-d5017938-Reviews-Ganesha_Ek_Sanskriti_Yogyakarta-Depok_Sleman_District_Yogyakarta_Region_Java.html,Ganesha Ek Sanskriti Yogyakarta Depok,Ganesha Ek Sanskriti Yogyakarta Depok Yogyakarta,"Ganesha Ek Sanskriti, Indian Restaurant & Bar",4.5,"Sheraton Mustika Yogyakarta, Jl. Laksda Adisucipto No.KM, RW.7, Nayan, Maguwoharjo, Kec. Gondokusuman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7816372,110.4280659,Yogyakarta,"Indian, Asian",3,4.0,8.0,100000,200000
ChIJY5-Q8u791y0RM9XyqhcHjFY,https://pergikuliner.com/restaurants/surabaya/beatus-alfresco-dining-dan-grill-ciputra-golf-club-dan-hotel-lakarsantri,"Beatus Alfresco Dining & Grill - Ciputra Golf, Club & Hotel Lakarsantri ","Beatus Alfresco Dining & Grill - Ciputra Golf, Club & Hotel Lakarsantri  Surabaya",Beatus Alfresco Dining & Grill,4.7,"Jl. Citra Raya Utama, Made, Kec. Sambikerep, Surabaya, Jawa Timur 60219, Indonesia",-7.2919851,112.6373469,Surabaya,Barat,4,4.5,9.0,200000,400000
ChIJY5B18Q_zaS4ROmTdEKBDOoM,https://pergikuliner.com/restaurants/jakarta/bruen-coffee-dan-kitchen-jatinegara,Bruen Coffee & Kitchen Jatinegara,Bruen Coffee & Kitchen Jatinegara  Jakarta,Bruen coffee & kitchen,4.6,"Jl. D.I Panjaitan No. 46 RT. 08 RW. 02, Kel, RT.4/RW.2, Cipinang Cempedak, Jatinegara, East Jakarta City, Jakarta 13340, Indonesia",-6.2326567,106.8759852,Jakarta,Kafe,3,4.25,8.5,100000,200000
ChIJy6aVxjXnaC4RHnym9N8Hx0E,https://pergikuliner.com/restaurants/bandung/terai-coffeatery-dago-atas,Terai Coffeatery Dago Atas,Terai Coffeatery Dago Atas  Bandung,Dago Terrace Coffee & Pizza,4.6,"Resor Dago Pakar, Jl. Sentra Dago Pakar Raya No.11-12, Mekarsaluyu, Cimenyan, Bandung Regency, West Java 40198, Indonesia",-6.8694573,107.6322867,Bandung,Kafe,1,4.21,8.42,20000,50000
ChIJY6nY1SnmaC4RMb6iZKA7aWQ,https://pergikuliner.com/restaurants/bandung/makmur-jaya-coffee-roaster-lengkong,Makmur Jaya Coffee Roaster Lengkong,Makmur Jaya Coffee Roaster Lengkong  Bandung,Makmur Jaya Coffee,4.7,"Jl. Lengkong Besar No.62, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40261, Indonesia",-6.9280099,107.6129183,Bandung,Kafe,1,4.03,8.06,20000,50000
ChIJY6oSLmD3aS4RQWZSjqSp8M4,https://pergikuliner.com/restaurants/jakarta/solaria-senayan-2,Solaria Senayan,Solaria Senayan Jakarta,Solaria - Senayan Park Mall,4.3,"Solaria Senayan Park Mall, Jl. Gerbang Pemuda No.3, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270, Indonesia",-6.2124261,106.8039742,Jakarta,Barat,2,4.31,8.62,50000,100000
ChIJy7kbEDBYei4R4jWeQfYr29M,https://www.tripadvisor.com/Restaurant_Review-g14782503-d10092248-Reviews-Rustik_Bistro_Bar-Yogyakarta_Yogyakarta_Region_Java.html,Rustik Bistro & Bar,Rustik Bistro & Bar  Yogyakarta,Rustik Bistro & Bar (Harper Malioboro),4.5,"Jl. Kp. Jogoyudan No.683, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia",-7.7848528,110.3679931,Yogyakarta,"American, European",3,4.0,8.0,100000,200000
ChIJY7tLK_hXei4R3lBShW_L6Yo,https://www.tripadvisor.com/Restaurant_Review-g14782503-d20056807-Reviews-Yuuki_Auce-Yogyakarta_Yogyakarta_Region_Java.html,Yuuki Auce,Yuuki Auce  Yogyakarta,YUUKI AUCE,4.5,"Jl. Mayjend Sutoyo No.46, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143, Indonesia",-7.8145172,110.3652787,Yogyakarta,"Japanese, Asian",1,4.0,8.0,20000,50000
ChIJY7TnQVFZei4R_V0De_slq-Y,https://www.tripadvisor.com/Restaurant_Review-g5074492-d1094357-Reviews-Warung_Iga_Bakar-Depok_Sleman_District_Yogyakarta_Region_Java.html,Warung Iga Bakar Depok,Warung Iga Bakar Depok Yogyakarta,Iga BAJOG (Iga Bakar Jogja),4.0,"Jalan Lingkar Utara No.1, RW.2 Sanggrahan, Sanggrahan, Condongcatur, Depok, Sleman Regency, Special Region of Yogyakarta 55281, Indonesia",-7.7581784,110.3960481,Yogyakarta,"Barbecue, Asian",2,4.0,8.0,50000,100000
ChIJY8b8-dD71y0RBaZsTTrAN00,https://pergikuliner.com/restaurants/surabaya/ayam-geprek-moome-gubeng,Ayam Geprek Moome Gubeng,Ayam Geprek Moome Gubeng  Surabaya,Ayam Geprek Moome Gubeng,4.5,"Gubeng Jaya I No.35, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",-7.2736386,112.7531646,Surabaya,Indonesia,1,4.5,9.0,20000,50000
ChIJy9MazlDnaC4RcaiM672BU08,https://pergikuliner.com/restaurants/bandung/suck-my-duck-sumatera,Suck My Duck Sumatera,Suck My Duck Sumatera  Bandung,Suck My Duck Bandung,4.5,"Jl. Sumatera No.19, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia",-6.9165304,107.6133582,Bandung,China,1,4.17,8.34,20000,50000
